Vehicle Type,Brand,Model,Year,Range (km),Top Speed (km/h)
Car,BYD,Atto 3,2019,93,160
Scooter,Hero Electric,Optima,2019,84,149
Car,MG,ZS EV,2021,271,153
Scooter,TVS,iQube,2022,186,173
Scooter,Hero Electric,Optima,2022,103,68
Car,Mahindra,eVerito,2021,236,66
Bike,Oben Electric,Rorr,2019,307,158
Car,Mahindra,eVerito,2023,422,136
Bike,Ultraviolette,F77,2019,317,106
Scooter,Ola Electric,S1 Pro,2023,257,77
Scooter,Hero Electric,Optima,2021,423,163
Bike,Oben Electric,Rorr,2021,142,63
Car,Tata Motors,Nexon EV,2019,122,175
Car,MG,ZS EV,2020,388,106
Scooter,TVS,iQube,2019,308,64
Car,Tata Motors,Nexon EV,2022,235,114
Scooter,Ola Electric,S1 Pro,2022,176,66
Scooter,Ather,450X,2019,258,171
Scooter,Bajaj,Chetak,2021,414,173
Bike,Tork Motors,Kratos,2021,107,148
Scooter,TVS,iQube,2021,321,62
Scooter,Ola Electric,S1 Pro,2020,419,77
Car,MG,ZS EV,2023,392,169
Bike,Tork Motors,Kratos,2022,108,83
Scooter,Hero Electric,Optima,2019,86,124
Car,Tata Motors,Nexon EV,2020,298,62
Scooter,Bajaj,Chetak,2023,153,116
Car,Mahindra,eVerito,2021,157,169
Bike,Oben Electric,Rorr,2019,374,85
Scooter,Ather,450X,2020,244,75
Car,Mahindra,eVerito,2023,270,106
Scooter,Hero Electric,Optima,2020,146,138
Bike,PURE EV,eTryst 350,2021,297,149
Scooter,Hero Electric,Optima,2022,362,152
Car,Tata Motors,Nexon EV,2021,92,143
Car,Mahindra,eVerito,2019,167,150
Bike,PURE EV,eTryst 350,2019,194,142
Car,MG,ZS EV,2022,215,76
Scooter,TVS,iQube,2019,233,163
Bike,Oben Electric,Rorr,2023,168,131
Scooter,TVS,iQube,2021,199,128
Bike,Revolt Motors,RV400,2023,223,60
Car,Mahindra,eVerito,2022,440,130
Car,BYD,Atto 3,2023,203,166
Scooter,Ola Electric,S1 Pro,2022,225,141
Car,Mahindra,eVerito,2021,437,162
Bike,Revolt Motors,RV400,2020,392,99
Car,Tata Motors,Nexon EV,2020,325,139
Bike,Revolt Motors,RV400,2020,134,100
Scooter,Ola Electric,S1 Pro,2023,250,151
Scooter,Bajaj,Chetak,2023,209,94
Car,BYD,Atto 3,2023,256,164
Car,BYD,Atto 3,2022,211,77
Car,BYD,Atto 3,2020,91,96
Scooter,Ola Electric,S1 Pro,2020,491,146
Bike,Tork Motors,Kratos,2022,333,76
Scooter,Ola Electric,S1 Pro,2023,378,65
Scooter,Bajaj,Chetak,2019,487,135
Scooter,TVS,iQube,2019,79,115
Scooter,Ola Electric,S1 Pro,2021,373,124
Bike,Tork Motors,Kratos,2023,166,106
Scooter,TVS,iQube,2023,408,154
Scooter,Ola Electric,S1 Pro,2023,197,159
Bike,PURE EV,eTryst 350,2019,471,66
Bike,Tork Motors,Kratos,2019,480,83
Car,BYD,Atto 3,2020,149,91
Car,Tata Motors,Nexon EV,2019,277,162
Bike,PURE EV,eTryst 350,2020,241,135
Bike,PURE EV,eTryst 350,2022,324,170
Bike,Oben Electric,Rorr,2023,295,130
Bike,Oben Electric,Rorr,2021,457,60
Car,Mahindra,eVerito,2021,155,160
Scooter,Ola Electric,S1 Pro,2020,361,75
Scooter,TVS,iQube,2022,115,177
Scooter,TVS,iQube,2020,392,107
Scooter,Ola Electric,S1 Pro,2020,285,95
Bike,Tork Motors,Kratos,2022,272,63
Scooter,Ather,450X,2022,354,159
Car,Hyundai,Kona Electric,2021,399,132
Bike,Revolt Motors,RV400,2021,176,155
Scooter,Hero Electric,Optima,2019,410,152
Bike,PURE EV,eTryst 350,2021,226,71
Scooter,Bajaj,Chetak,2019,123,131
Bike,Tork Motors,Kratos,2023,126,77
Car,MG,ZS EV,2020,363,177
Scooter,TVS,iQube,2023,353,170
Car,Tata Motors,Nexon EV,2021,317,171
Scooter,Bajaj,Chetak,2021,166,149
Bike,Revolt Motors,RV400,2021,124,164
Car,Tata Motors,Nexon EV,2020,200,173
Scooter,TVS,iQube,2019,430,95
Scooter,Hero Electric,Optima,2021,283,102
Scooter,Hero Electric,Optima,2022,387,99
Scooter,TVS,iQube,2022,252,168
Bike,PURE EV,eTryst 350,2019,327,146
Car,Mahindra,eVerito,2022,262,115
Car,Hyundai,Kona Electric,2023,127,127
Car,BYD,Atto 3,2021,155,150
Scooter,TVS,iQube,2023,136,165
Bike,Ultraviolette,F77,2019,395,137
Bike,Tork Motors,Kratos,2023,234,112
Car,Mahindra,eVerito,2023,314,159
Bike,Ultraviolette,F77,2022,350,169
Scooter,Hero Electric,Optima,2021,254,172
Bike,Revolt Motors,RV400,2021,75,100
Car,Mahindra,eVerito,2020,495,80
Car,BYD,Atto 3,2019,331,116
Scooter,Ola Electric,S1 Pro,2019,453,105
Car,Mahindra,eVerito,2023,329,62
Scooter,Bajaj,Chetak,2019,458,75
Scooter,Ola Electric,S1 Pro,2019,121,90
Bike,Tork Motors,Kratos,2020,456,116
Car,Mahindra,eVerito,2020,492,134
Scooter,Bajaj,Chetak,2020,362,136
Car,Mahindra,eVerito,2021,280,132
Bike,Revolt Motors,RV400,2019,374,69
Scooter,Hero Electric,Optima,2019,419,65
Bike,Tork Motors,Kratos,2020,422,94
Car,BYD,Atto 3,2022,497,142
Scooter,Bajaj,Chetak,2021,489,104
Car,MG,ZS EV,2022,300,69
Bike,Tork Motors,Kratos,2020,265,65
Scooter,Ather,450X,2021,155,169
Car,MG,ZS EV,2022,96,93
Bike,Ultraviolette,F77,2021,345,115
Bike,Revolt Motors,RV400,2023,128,177
Bike,Ultraviolette,F77,2020,119,62
Bike,Revolt Motors,RV400,2022,224,150
Car,Tata Motors,Nexon EV,2020,242,174
Car,BYD,Atto 3,2023,247,65
Bike,Oben Electric,Rorr,2023,379,141
Car,BYD,Atto 3,2023,202,152
Scooter,Hero Electric,Optima,2021,174,154
Car,MG,ZS EV,2019,162,157
Car,Hyundai,Kona Electric,2023,266,151
Scooter,Hero Electric,Optima,2022,427,118
Car,Mahindra,eVerito,2023,435,125
Bike,PURE EV,eTryst 350,2021,133,141
Scooter,Ola Electric,S1 Pro,2022,169,62
Scooter,Ather,450X,2020,333,124
Scooter,TVS,iQube,2021,122,116
Bike,Oben Electric,Rorr,2019,248,134
Bike,Revolt Motors,RV400,2022,441,108
Car,Hyundai,Kona Electric,2023,171,103
Bike,Oben Electric,Rorr,2021,417,107
Car,Tata Motors,Nexon EV,2021,496,114
Car,Mahindra,eVerito,2022,111,74
Car,Mahindra,eVerito,2019,160,146
Bike,Tork Motors,Kratos,2022,297,131
Scooter,Ather,450X,2020,272,68
Bike,PURE EV,eTryst 350,2019,419,136
Car,BYD,Atto 3,2021,477,169
Scooter,Hero Electric,Optima,2022,334,137
Bike,PURE EV,eTryst 350,2023,282,98
Car,BYD,Atto 3,2022,428,173
Bike,Oben Electric,Rorr,2023,477,97
Scooter,Bajaj,Chetak,2019,451,130
Bike,Revolt Motors,RV400,2019,176,149
Car,MG,ZS EV,2023,456,155
Bike,Ultraviolette,F77,2022,393,155
Bike,PURE EV,eTryst 350,2019,228,67
Bike,Revolt Motors,RV400,2020,174,117
Scooter,Ola Electric,S1 Pro,2021,238,129
Car,Mahindra,eVerito,2023,451,62
Car,MG,ZS EV,2021,405,69
Bike,Tork Motors,Kratos,2023,218,147
Scooter,Bajaj,Chetak,2021,157,162
Scooter,Bajaj,Chetak,2020,382,71
Car,Hyundai,Kona Electric,2021,321,118
Car,BYD,Atto 3,2023,274,112
Bike,PURE EV,eTryst 350,2020,354,114
Bike,Oben Electric,Rorr,2021,349,112
Car,Mahindra,eVerito,2023,374,119
Scooter,TVS,iQube,2023,376,146
Bike,Ultraviolette,F77,2023,262,159
Scooter,Bajaj,Chetak,2019,404,165
Bike,Tork Motors,Kratos,2023,363,141
Scooter,TVS,iQube,2021,220,72
Bike,PURE EV,eTryst 350,2019,85,76
Scooter,Ather,450X,2020,240,161
Bike,PURE EV,eTryst 350,2019,321,70
Scooter,Bajaj,Chetak,2022,489,173
Car,Mahindra,eVerito,2020,321,162
Bike,PURE EV,eTryst 350,2021,487,85
Car,MG,ZS EV,2023,469,121
Car,Mahindra,eVerito,2020,331,149
Bike,PURE EV,eTryst 350,2020,373,92
Bike,Revolt Motors,RV400,2023,290,123
Bike,Oben Electric,Rorr,2019,365,159
Car,Hyundai,Kona Electric,2022,85,141
Bike,Ultraviolette,F77,2023,203,137
Scooter,Ola Electric,S1 Pro,2022,478,148
Scooter,Bajaj,Chetak,2021,263,96
Bike,Oben Electric,Rorr,2019,278,109
Scooter,Ather,450X,2022,386,74
Scooter,Hero Electric,Optima,2022,474,83
Scooter,Ather,450X,2022,440,107
Bike,PURE EV,eTryst 350,2023,435,158
Car,MG,ZS EV,2023,431,141
Bike,PURE EV,eTryst 350,2020,212,175
Car,BYD,Atto 3,2023,321,102
Car,BYD,Atto 3,2020,142,82
Car,Mahindra,eVerito,2021,444,155
Scooter,Ather,450X,2021,229,161
Car,Tata Motors,Nexon EV,2020,82,60
Car,MG,ZS EV,2022,490,120
Bike,PURE EV,eTryst 350,2023,433,89
Scooter,Ather,450X,2022,382,106
Bike,Tork Motors,Kratos,2022,85,146
Bike,Oben Electric,Rorr,2021,352,113
Car,Tata Motors,Nexon EV,2019,215,101
Bike,Ultraviolette,F77,2023,356,135
Car,Tata Motors,Nexon EV,2019,111,174
Scooter,Hero Electric,Optima,2022,483,101
Scooter,Ola Electric,S1 Pro,2020,95,98
Scooter,Hero Electric,Optima,2020,241,176
Bike,Tork Motors,Kratos,2019,473,176
Car,Hyundai,Kona Electric,2019,414,151
Scooter,TVS,iQube,2020,255,156
Scooter,Ola Electric,S1 Pro,2020,96,132
Scooter,Ola Electric,S1 Pro,2022,481,67
Car,BYD,Atto 3,2023,248,150
Car,Tata Motors,Nexon EV,2019,210,151
Car,MG,ZS EV,2023,151,64
Scooter,TVS,iQube,2023,207,134
Car,Mahindra,eVerito,2021,288,125
Scooter,Ather,450X,2020,84,99
Scooter,Ather,450X,2021,278,141
Car,BYD,Atto 3,2021,309,66
Bike,Ultraviolette,F77,2022,349,117
Car,Hyundai,Kona Electric,2021,372,134
Car,Mahindra,eVerito,2019,427,153
Bike,Tork Motors,Kratos,2019,196,170
Car,MG,ZS EV,2019,140,120
Bike,Oben Electric,Rorr,2020,164,76
Car,BYD,Atto 3,2020,457,88
Scooter,Ola Electric,S1 Pro,2021,136,147
Bike,Revolt Motors,RV400,2021,467,139
Scooter,Ather,450X,2021,197,63
Car,Mahindra,eVerito,2021,184,61
Scooter,Bajaj,Chetak,2022,270,81
Car,Tata Motors,Nexon EV,2023,295,129
Car,Mahindra,eVerito,2022,442,156
Scooter,TVS,iQube,2022,183,71
Scooter,Bajaj,Chetak,2019,299,102
Bike,PURE EV,eTryst 350,2022,342,166
Car,MG,ZS EV,2019,86,132
Car,MG,ZS EV,2023,289,89
Bike,Revolt Motors,RV400,2021,283,121
Bike,Oben Electric,Rorr,2022,266,179
Car,Mahindra,eVerito,2021,448,158
Bike,Revolt Motors,RV400,2021,124,64
Scooter,Hero Electric,Optima,2020,313,87
Bike,PURE EV,eTryst 350,2021,482,123
Bike,PURE EV,eTryst 350,2022,188,115
Scooter,Bajaj,Chetak,2023,165,101
Scooter,Ather,450X,2020,97,129
Bike,Ultraviolette,F77,2020,250,171
Bike,Oben Electric,Rorr,2021,213,125
Car,Tata Motors,Nexon EV,2019,303,91
Scooter,Bajaj,Chetak,2020,405,89
Bike,Tork Motors,Kratos,2021,205,110
Bike,Oben Electric,Rorr,2023,116,135
Car,Mahindra,eVerito,2022,96,71
Bike,PURE EV,eTryst 350,2019,205,91
Car,MG,ZS EV,2021,453,167
Bike,Revolt Motors,RV400,2019,496,170
Car,Hyundai,Kona Electric,2020,192,81
Bike,Oben Electric,Rorr,2023,464,91
Scooter,Bajaj,Chetak,2022,180,62
Car,Tata Motors,Nexon EV,2023,320,88
Scooter,Ola Electric,S1 Pro,2021,468,170
Bike,Tork Motors,Kratos,2023,484,104
Car,MG,ZS EV,2021,79,95
Car,BYD,Atto 3,2019,234,96
Scooter,Ola Electric,S1 Pro,2023,378,170
Scooter,Hero Electric,Optima,2019,136,148
Scooter,Ather,450X,2022,286,171
Car,Mahindra,eVerito,2019,191,88
Scooter,Ola Electric,S1 Pro,2023,401,137
Bike,Revolt Motors,RV400,2019,285,80
Scooter,TVS,iQube,2023,91,133
Scooter,Ola Electric,S1 Pro,2022,144,96
Car,BYD,Atto 3,2019,345,98
Bike,Revolt Motors,RV400,2023,484,153
Bike,Oben Electric,Rorr,2023,134,168
Car,Mahindra,eVerito,2023,213,166
Bike,PURE EV,eTryst 350,2019,138,172
Bike,Revolt Motors,RV400,2019,461,168
Scooter,Hero Electric,Optima,2022,90,91
Car,BYD,Atto 3,2021,144,123
Scooter,Hero Electric,Optima,2019,111,95
Car,Mahindra,eVerito,2019,137,145
Bike,Revolt Motors,RV400,2023,412,150
Scooter,Hero Electric,Optima,2020,198,107
Bike,Oben Electric,Rorr,2020,220,77
Bike,Ultraviolette,F77,2020,219,110
Scooter,TVS,iQube,2020,109,120
Car,BYD,Atto 3,2020,76,62
Bike,Revolt Motors,RV400,2020,230,136
Bike,PURE EV,eTryst 350,2023,441,64
Bike,Ultraviolette,F77,2021,350,92
Car,MG,ZS EV,2020,420,128
Bike,Revolt Motors,RV400,2022,451,111
Bike,PURE EV,eTryst 350,2023,413,70
Car,BYD,Atto 3,2019,377,174
Car,Hyundai,Kona Electric,2021,180,173
Scooter,Bajaj,Chetak,2021,299,88
Scooter,Ola Electric,S1 Pro,2021,120,100
Scooter,Hero Electric,Optima,2019,232,144
Car,BYD,Atto 3,2019,214,120
Scooter,TVS,iQube,2020,187,155
Car,MG,ZS EV,2019,168,83
Car,BYD,Atto 3,2023,219,108
Car,BYD,Atto 3,2019,208,102
Car,Hyundai,Kona Electric,2020,219,165
Scooter,TVS,iQube,2020,452,129
Car,Hyundai,Kona Electric,2020,124,102
Bike,Oben Electric,Rorr,2021,331,116
Bike,Revolt Motors,RV400,2021,159,159
Scooter,Ather,450X,2019,419,94
Bike,Revolt Motors,RV400,2020,354,174
Car,BYD,Atto 3,2023,389,115
Car,MG,ZS EV,2021,394,120
Car,BYD,Atto 3,2019,472,107
Scooter,Hero Electric,Optima,2022,292,121
Car,Mahindra,eVerito,2023,78,74
Car,MG,ZS EV,2020,84,61
Car,Hyundai,Kona Electric,2021,431,145
Car,MG,ZS EV,2021,224,155
Bike,Tork Motors,Kratos,2020,380,124
Car,Hyundai,Kona Electric,2022,206,115
Scooter,Ola Electric,S1 Pro,2020,403,76
Car,MG,ZS EV,2022,254,180
Scooter,TVS,iQube,2021,460,176
Car,MG,ZS EV,2023,340,62
Scooter,Hero Electric,Optima,2023,157,112
Bike,Ultraviolette,F77,2022,421,78
Scooter,TVS,iQube,2019,451,96
Bike,Oben Electric,Rorr,2021,260,98
Car,MG,ZS EV,2021,442,144
Bike,Oben Electric,Rorr,2023,174,168
Car,MG,ZS EV,2023,265,175
Scooter,Ather,450X,2021,420,66
Bike,Ultraviolette,F77,2022,499,171
Bike,PURE EV,eTryst 350,2022,325,122
Bike,Revolt Motors,RV400,2019,362,172
Bike,Oben Electric,Rorr,2021,293,159
Bike,Revolt Motors,RV400,2022,446,178
Car,BYD,Atto 3,2019,248,164
Bike,Oben Electric,Rorr,2020,286,110
Scooter,Ather,450X,2020,85,121
Scooter,Hero Electric,Optima,2021,95,144
Car,MG,ZS EV,2019,116,116
Scooter,Ola Electric,S1 Pro,2020,245,117
Bike,Tork Motors,Kratos,2022,339,166
Car,Hyundai,Kona Electric,2021,376,108
Bike,Ultraviolette,F77,2020,162,132
Scooter,Hero Electric,Optima,2022,107,178
Bike,Oben Electric,Rorr,2023,105,123
Car,Tata Motors,Nexon EV,2020,303,88
Car,BYD,Atto 3,2022,211,88
Scooter,Bajaj,Chetak,2021,408,171
Bike,PURE EV,eTryst 350,2019,153,112
Bike,Oben Electric,Rorr,2019,84,114
Car,Tata Motors,Nexon EV,2021,200,123
Car,MG,ZS EV,2019,323,132
Bike,Tork Motors,Kratos,2019,285,96
Car,Tata Motors,Nexon EV,2021,362,76
Bike,Revolt Motors,RV400,2020,129,145
Car,BYD,Atto 3,2023,80,113
Bike,Oben Electric,Rorr,2021,168,121
Bike,Oben Electric,Rorr,2022,77,68
Bike,Revolt Motors,RV400,2021,494,93
Car,Tata Motors,Nexon EV,2019,320,93
Car,BYD,Atto 3,2023,375,130
Car,MG,ZS EV,2021,425,122
Scooter,Ola Electric,S1 Pro,2019,342,72
Bike,Oben Electric,Rorr,2020,243,135
Car,BYD,Atto 3,2021,411,123
Scooter,TVS,iQube,2023,341,67
Car,BYD,Atto 3,2022,489,152
Scooter,Bajaj,Chetak,2019,456,144
Scooter,TVS,iQube,2021,80,94
Car,Hyundai,Kona Electric,2021,167,154
Car,Tata Motors,Nexon EV,2020,418,85
Bike,Ultraviolette,F77,2022,115,179
Car,Mahindra,eVerito,2023,128,172
Bike,Tork Motors,Kratos,2019,158,170
Scooter,TVS,iQube,2020,471,121
Car,Hyundai,Kona Electric,2023,196,147
Car,BYD,Atto 3,2020,403,140
Bike,Oben Electric,Rorr,2023,178,133
Bike,Tork Motors,Kratos,2019,219,157
Car,Mahindra,eVerito,2022,324,139
Bike,Ultraviolette,F77,2019,97,106
Car,Hyundai,Kona Electric,2022,172,151
Scooter,Hero Electric,Optima,2020,298,77
Scooter,Ather,450X,2020,403,163
Car,MG,ZS EV,2022,347,178
Scooter,Ola Electric,S1 Pro,2019,334,146
Bike,Oben Electric,Rorr,2021,117,99
Bike,Oben Electric,Rorr,2022,221,67
Bike,Ultraviolette,F77,2019,302,121
Car,Hyundai,Kona Electric,2023,228,125
Car,MG,ZS EV,2021,188,112
Bike,Oben Electric,Rorr,2020,467,140
Scooter,Bajaj,Chetak,2020,245,103
Bike,Ultraviolette,F77,2019,180,73
Car,Tata Motors,Nexon EV,2020,243,149
Bike,PURE EV,eTryst 350,2019,484,142
Car,BYD,Atto 3,2021,433,65
Bike,Tork Motors,Kratos,2021,115,161
Scooter,TVS,iQube,2020,408,142
Car,MG,ZS EV,2020,134,61
Bike,PURE EV,eTryst 350,2021,270,128
Scooter,TVS,iQube,2022,192,173
Car,MG,ZS EV,2022,362,62
Bike,Ultraviolette,F77,2021,359,171
Car,Tata Motors,Nexon EV,2023,484,107
Bike,Oben Electric,Rorr,2020,130,177
Bike,Ultraviolette,F77,2021,359,149
Scooter,TVS,iQube,2022,386,115
Car,Tata Motors,Nexon EV,2020,368,99
Bike,Ultraviolette,F77,2019,350,111
Bike,Oben Electric,Rorr,2019,186,111
Scooter,Bajaj,Chetak,2022,182,145
Scooter,Ather,450X,2020,146,94
Scooter,Hero Electric,Optima,2020,307,145
Scooter,Hero Electric,Optima,2019,394,86
Scooter,Bajaj,Chetak,2023,210,68
Car,Hyundai,Kona Electric,2021,168,62
Bike,Tork Motors,Kratos,2020,341,156
Car,Hyundai,Kona Electric,2022,443,153
Bike,PURE EV,eTryst 350,2022,249,105
Bike,Revolt Motors,RV400,2021,401,153
Bike,Ultraviolette,F77,2021,336,119
Car,Hyundai,Kona Electric,2022,416,167
Bike,Revolt Motors,RV400,2021,201,70
Car,MG,ZS EV,2022,289,90
Car,BYD,Atto 3,2019,334,113
Car,BYD,Atto 3,2020,285,132
Scooter,Ola Electric,S1 Pro,2021,420,169
Scooter,Bajaj,Chetak,2020,256,123
Bike,PURE EV,eTryst 350,2021,314,92
Car,Mahindra,eVerito,2019,337,125
Bike,Ultraviolette,F77,2019,277,122
Car,Tata Motors,Nexon EV,2020,287,144
Scooter,Ather,450X,2022,335,133
Car,Mahindra,eVerito,2021,378,120
Car,Tata Motors,Nexon EV,2022,394,91
Car,Mahindra,eVerito,2021,225,157
Scooter,Hero Electric,Optima,2021,415,83
Car,Tata Motors,Nexon EV,2019,220,125
Bike,Tork Motors,Kratos,2022,133,63
Car,Mahindra,eVerito,2023,143,62
Car,Mahindra,eVerito,2019,274,65
Scooter,Hero Electric,Optima,2022,274,73
Car,MG,ZS EV,2022,412,86
Car,BYD,Atto 3,2020,246,147
Bike,Oben Electric,Rorr,2020,331,161
Scooter,TVS,iQube,2019,150,94
Car,Hyundai,Kona Electric,2022,445,180
Car,BYD,Atto 3,2023,341,113
Car,Mahindra,eVerito,2020,106,94
Car,MG,ZS EV,2019,269,102
Car,MG,ZS EV,2022,432,132
Bike,Revolt Motors,RV400,2019,470,91
Bike,Tork Motors,Kratos,2019,263,173
Bike,PURE EV,eTryst 350,2022,227,151
Scooter,Bajaj,Chetak,2020,268,125
Car,BYD,Atto 3,2023,285,115
Car,BYD,Atto 3,2023,316,106
Car,Mahindra,eVerito,2020,357,66
Bike,Revolt Motors,RV400,2020,189,101
Car,Mahindra,eVerito,2022,215,86
Bike,PURE EV,eTryst 350,2021,296,172
Bike,Tork Motors,Kratos,2023,473,172
Car,Mahindra,eVerito,2020,80,62
Bike,Revolt Motors,RV400,2019,188,84
Scooter,Bajaj,Chetak,2020,220,127
Car,Mahindra,eVerito,2019,405,96
